Operation, HighFuelCosts, DispatchGen, 'N-NG_GT':1, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-NG_GT':2, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-NG_GT':3, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-NG_GT':4, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-NG_GT':5, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-NG_GT':6, 1.68721650449
Operation, HighFuelCosts, DispatchGen, 'N-NG_GT':7, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Nuclear':1, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Nuclear':2, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Nuclear':3, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Nuclear':4, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Nuclear':5, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Nuclear':6, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Nuclear':7, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Residential_PV':1, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Residential_PV':2, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Residential_PV':3, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Residential_PV':4, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Residential_PV':5, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Residential_PV':6, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Residential_PV':7, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Wind-1':1, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Wind-1':2, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Wind-1':3, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Wind-1':4, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Wind-1':5, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Wind-1':6, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Wind-1':7, 3.1808
Operation, HighFuelCosts, DispatchGen, 'N-Wind-2':1, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Wind-2':2, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Wind-2':3, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Wind-2':4, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Wind-2':5, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Wind-2':6, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Wind-2':7, 0.86478
Operation, HighFuelCosts, DispatchGen, 'S-Biomass_IGCC':1, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Biomass_IGCC':2, 0.0
