load_zone	fuel	period_temp	fuel_cost
Guangxi	Bio_Solid_CCS	2021	2.028500431
Guangxi	Bio_Solid_CCS	2026	2.028500431
Guangxi	Bio_Solid_CCS	2031	2.028500431
Guangxi	Bio_Solid_CCS	2036	2.028500431
Guangxi	Coal	2016	6.0518918858
Guangxi	Coal	2021	6.3622783392
Guangxi	Coal	2026	6.6855438984
Guangxi	Coal	2031	7.0268402062
Guangxi	Coal	2036	7.3694066024
Guangxi	Coal_CCS	2016	6.0518918858
Guangxi	Coal_CCS	2021	6.3622783392
Guangxi	Coal_CCS	2026	6.6855438984
Guangxi	Coal_CCS	2031	7.0268402062
Guangxi	Coal_CCS	2036	7.3694066024
Guangxi	DistillateFuelOil	2016	18.804
Guangxi	DistillateFuelOil	2021	20.612
Guangxi	DistillateFuelOil	2026	21.892
Guangxi	DistillateFuelOil	2031	22.568
Guangxi	DistillateFuelOil	2036	24.73028897
Guangxi	DistillateFuelOil_CCS	2016	18.804
Guangxi	DistillateFuelOil_CCS	2021	20.612
Guangxi	DistillateFuelOil_CCS	2026	21.892
Guangxi	DistillateFuelOil_CCS	2031	22.568
Guangxi	DistillateFuelOil_CCS	2036	24.73028897
Guangxi	Gas	2016	13.148208292
Guangxi	Gas	2021	14.831222524
Guangxi	Gas	2026	16.525130052
Guangxi	Gas	2031	17.766965796
Guangxi	Gas	2036	18.67264782
Guangxi	Gas_CCS	2016	13.148208292
Guangxi	Gas_CCS	2021	14.831222524
Guangxi	Gas_CCS	2026	16.525130052
Guangxi	Gas_CCS	2031	17.766965796
Guangxi	Gas_CCS	2036	18.67264782
Guangxi	ResidualFuelOil	2016	14.346
Guangxi	ResidualFuelOil	2021	15.704
Guangxi	ResidualFuelOil	2026	16.756
Guangxi	ResidualFuelOil	2031	16.762
Guangxi	ResidualFuelOil	2036	18.857248678
Guangxi	ResidualFuelOil_CCS	2016	14.346
Guangxi	ResidualFuelOil_CCS	2021	15.704
Guangxi	ResidualFuelOil_CCS	2026	16.756
