GENERATION_PROJECT	gen_tech	gen_energy_source	gen_load_zone	gen_max_age	gen_is_variable	gen_is_baseload	gen_full_load_heat_rate	gen_variable_om	gen_connect_cost_per_mw	gen_dbid	gen_scheduled_outage_rate	gen_forced_outage_rate	gen_capacity_limit_mw	gen_min_build_capacity	gen_is_cogen	gen_storage_efficiency	gen_store_to_release_ratio
157	Commercial_PV	Solar	Gansu	20	TRUE	FALSE	.	0	0	157	0	0.02	1000	0	FALSE	0	0
158	Commercial_PV	Solar	Hainan	20	TRUE	FALSE	.	0	0	158	0	0.02	27265.9306	0	FALSE	0	0
159	Commercial_PV	Solar	Hebei	20	TRUE	FALSE	.	0	0	159	0	0.02	94479.9435	0	FALSE	0	0
160	Commercial_PV	Solar	Heilongjiang	20	TRUE	FALSE	.	0	0	160	0	0.02	148764.075	0	FALSE	0	0
161	Commercial_PV	Solar	Hunan	20	TRUE	FALSE	.	0	0	161	0	0.02	58285.9812	0	FALSE	0	0
162	Commercial_PV	Solar	West_Inner_Mongolia	20	TRUE	FALSE	.	0	0	162	0	0.02	129556.803	0	FALSE	0	0
163	Commercial_PV	Solar	West_Inner_Mongolia	20	TRUE	FALSE	.	0	0	163	0	0.02	10115.6064	0	FALSE	0	0
164	Commercial_PV	Solar	West_Inner_Mongolia	20	TRUE	FALSE	.	0	0	164	0	0.02	48801.6712	0	FALSE	0	0
165	Commercial_PV	Solar	West_Inner_Mongolia	20	TRUE	FALSE	.	0	0	165	0	0.02	1322.69757	0	FALSE	0	0
166	Commercial_PV	Solar	West_Inner_Mongolia	20	TRUE	FALSE	.	0	0	166	0	0.02	19618.5544	0	FALSE	0	0
167	Commercial_PV	Solar	East_Inner_Mongolia	20	TRUE	FALSE	.	0	0	167	0	0.02	93896.9832	0	FALSE	0	0
168	Commercial_PV	Solar	West_Inner_Mongolia	20	TRUE	FALSE	.	0	0	168	0	0.02	17462.0274	0	FALSE	0	0
169	Commercial_PV	Solar	West_Inner_Mongolia	20	TRUE	FALSE	.	0	0	169	0	0.02	9190.85978	0	FALSE	0	0
170	Commercial_PV	Solar	Jiangsu	20	TRUE	FALSE	.	0	0	170	0	0.02	233240.363	0	FALSE	0	0
171	Commercial_PV	Solar	Jiangsu	20	TRUE	FALSE	.	0	0	171	0	0.02	1000	0	FALSE	0	0
172	Commercial_PV	Solar	Jilin	20	TRUE	FALSE	.	0	0	172	0	0.02	128252.039	0	FALSE	0	0
173	Commercial_PV	Solar	Liaoning	20	TRUE	FALSE	.	0	0	173	0	0.02	162664.204	0	FALSE	0	0
174	Commercial_PV	Solar	Ningxia	20	TRUE	FALSE	.	0	0	174	0	0.02	20395.8303	0	FALSE	0	0
175	Commercial_PV	Solar	Ningxia	20	TRUE	FALSE	.	0	0	175	0	0.02	12236.6153	0	FALSE	0	0
176	Commercial_PV	Solar	Ningxia	20	TRUE	FALSE	.	0	0	176	0	0.02	11320.2684	0	FALSE	0	0
177	Commercial_PV	Solar	Ningxia	20	TRUE	FALSE	.	0	0	177	0	0.02	21056.9299	0	FALSE	0	0
178	Commercial_PV	Solar	Qinghai	20	TRUE	FALSE	.	0	0	178	0	0.02	15748.4548	0	FALSE	0	0
179	Commercial_PV	Solar	Qinghai	20	TRUE	FALSE	.	0	0	179	0	0.02	17888.4314	0	FALSE	0	0
180	Commercial_PV	Solar	Qinghai	20	TRUE	FALSE	.	0	0	180	0	0.02	12564.001	0	FALSE	0	0
181	Commercial_PV	Solar	Qinghai	20	TRUE	FALSE	.	0	0	181	0	0.02	11414.1572	0	FALSE	0	0
182	Commercial_PV	Solar	Qinghai	20	TRUE	FALSE	.	0	0	182	0	0.02	1507.28453	0	FALSE	0	0
183	Commercial_PV	Solar	Qinghai	20	TRUE	FALSE	.	0	0	183	0	0.02	1722.61618	0	FALSE	0	0
184	Commercial_PV	Solar	Shaanxi	20	TRUE	FALSE	.	0	0	184	0	0.02	6434.67163	0	FALSE	0	0
185	Commercial_PV	Solar	Shandong	20	TRUE	FALSE	.	0	0	185	0	0.02	334530.515	0	FALSE	0	0
186	Commercial_PV	Solar	Tibet	20	TRUE	FALSE	.	0	0	186	0	0.02	1000	0	FALSE	0	0
187	Commercial_PV	Solar	Xinjiang	20	TRUE	FALSE	.	0	0	187	0	0.02	21727.679	0	FALSE	0	0
188	Commercial_PV	Solar	Xinjiang	20	TRUE	FALSE	.	0	0	188	0	0.02	39335.1775	0	FALSE	0	0
189	Commercial_PV	Solar	Xinjiang	20	TRUE	FALSE	.	0	0	189	0	0.02	31330.8752	0	FALSE	0	0
190	Commercial_PV	Solar	Xinjiang	20	TRUE	FALSE	.	0	0	190	0	0.02	43135.1677	0	FALSE	0	0
191	Commercial_PV	Solar	Xinjiang	20	TRUE	FALSE	.	0	0	191	0	0.02	3397.80229	0	FALSE	0	0
192	Commercial_PV	Solar	Xinjiang	20	TRUE	FALSE	.	0	0	192	0	0.02	12016.5683	0	FALSE	0	0
193	Commercial_PV	Solar	Xinjiang	20	TRUE	FALSE	.	0	0	193	0	0.02	2123.74599	0	FALSE	0	0
194	Commercial_PV	Solar	Yunnan	20	TRUE	FALSE	.	0	0	194	0	0.02	31174.614	0	FALSE	0	0
195	Commercial_PV	Solar	Yunnan	20	TRUE	FALSE	.	0	0	195	0	0.02	5162.37186	0	FALSE	0	0
196	Commercial_PV	Solar	West_Inner_Mongolia	20	TRUE	FALSE	.	0	0	196	0	0.02	1283.14438	0	FALSE	0	0
197	Commercial_PV	Solar	Guangdong	20	TRUE	FALSE	.	0	0	197	0	0.02	162829.012	0	FALSE	0	0
198	Commercial_PV	Solar	West_Inner_Mongolia	20	TRUE	FALSE	.	0	0	198	0	0.02	30633.5829	0	FALSE	0	0
199	Commercial_PV	Solar	Gansu	20	TRUE	FALSE	.	0	0	199	0	0.02	53643.0885	0	FALSE	0	0
200	Commercial_PV	Solar	Fujian	20	TRUE	FALSE	.	0	0	200	0	0.02	41654.4766	0	FALSE	0	0
201	Residential_PV	Solar	Anhui	20	TRUE	FALSE	.	0	0	201	0	0.02	611877.56	0	FALSE	0	0
202	Residential_PV	Solar	Anhui	20	TRUE	FALSE	.	0	0	202	0	0.02	71542.5127	0	FALSE	0	0
203	Residential_PV	Solar	Anhui	20	TRUE	FALSE	.	0	0	203	0	0.02	40292.7536	0	FALSE	0	0
204	Residential_PV	Solar	Anhui	20	TRUE	FALSE	.	0	0	204	0	0.02	623541.743	0	FALSE	0	0
205	Residential_PV	Solar	Beijing	20	TRUE	FALSE	.	0	0	205	0	0.02	234098.322	0	FALSE	0	0
206	Residential_PV	Solar	Chongqing	20	TRUE	FALSE	.	0	0	206	0	0.02	77517.9964	0	FALSE	0	0
207	Residential_PV	Solar	Fujian	20	TRUE	FALSE	.	0	0	207	0	0.02	59536.2402	0	FALSE	0	0
208	Residential_PV	Solar	Fujian	20	TRUE	FALSE	.	0	0	208	0	0.02	89585.1798	0	FALSE	0	0
209	Residential_PV	Solar	Fujian	20	TRUE	FALSE	.	0	0	209	0	0.02	34642.2837	0	FALSE	0	0
