GENERATION_PROJECT	PERIOD	gen_tech	gen_load_zone	gen_energy_source	GenCapacity	GenCapitalCosts	GenFixedOMCosts
71	2031	Commercial_PV	East_Inner_Mongolia	Solar	0	0	0
71	2036	Commercial_PV	East_Inner_Mongolia	Solar	0	0	0
72	2016	Commercial_PV	West_Inner_Mongolia	Solar	0	0	0
72	2021	Commercial_PV	West_Inner_Mongolia	Solar	0	0	0
72	2026	Commercial_PV	West_Inner_Mongolia	Solar	0	0	0
72	2031	Commercial_PV	West_Inner_Mongolia	Solar	0	0	0
72	2036	Commercial_PV	West_Inner_Mongolia	Solar	9380.14	1.32813e+09	7.03511e+07
73	2016	Commercial_PV	East_Inner_Mongolia	Solar	0	0	0
73	2021	Commercial_PV	East_Inner_Mongolia	Solar	0	0	0
73	2026	Commercial_PV	East_Inner_Mongolia	Solar	0	0	0
73	2031	Commercial_PV	East_Inner_Mongolia	Solar	0	0	0
73	2036	Commercial_PV	East_Inner_Mongolia	Solar	0	0	0
74	2016	Commercial_PV	Jiangsu	Solar	0	0	0
74	2021	Commercial_PV	Jiangsu	Solar	0	0	0
74	2026	Commercial_PV	Jiangsu	Solar	0	0	0
74	2031	Commercial_PV	Jiangsu	Solar	0	0	0
74	2036	Commercial_PV	Jiangsu	Solar	0	0	0
75	2016	Commercial_PV	Jiangsu	Solar	0	0	0
75	2021	Commercial_PV	Jiangsu	Solar	0	0	0
75	2026	Commercial_PV	Jiangsu	Solar	0	0	0
75	2031	Commercial_PV	Jiangsu	Solar	0	0	0
75	2036	Commercial_PV	Jiangsu	Solar	0	0	0
76	2016	Commercial_PV	Jiangsu	Solar	0	0	0
76	2021	Commercial_PV	Jiangsu	Solar	0	0	0
76	2026	Commercial_PV	Jiangsu	Solar	0	0	0
76	2031	Commercial_PV	Jiangsu	Solar	0	0	0
76	2036	Commercial_PV	Jiangsu	Solar	0	0	0
77	2016	Commercial_PV	Jiangsu	Solar	0	0	0
77	2021	Commercial_PV	Jiangsu	Solar	0	0	0
77	2026	Commercial_PV	Jiangsu	Solar	0	0	0
77	2031	Commercial_PV	Jiangsu	Solar	0	0	0
