TRANS_TIMEPOINTS_1	TRANS_TIMEPOINTS_2	TRANS_TIMEPOINTS_3	DispatchTx
Ningxia	Shandong	206450	0.0
Ningxia	Shandong	206454	0.0
Ningxia	Shandong	206458	0.0
Ningxia	Shandong	206462	0.0
Ningxia	Shandong	206466	0.0
Ningxia	Shandong	206470	0.0
Ningxia	Shandong	251282	0.0
Ningxia	Shandong	251286	0.0
Ningxia	Shandong	251290	0.0
Ningxia	Shandong	251294	0.0
Ningxia	Shandong	251298	0.0
Ningxia	Shandong	251302	0.0
Ningxia	Shandong	251498	0.0
Ningxia	Shandong	251502	0.0
Ningxia	Shandong	251506	0.0
Ningxia	Shandong	251510	0.0
Ningxia	Shandong	251514	0.0
Ningxia	Shandong	251518	0.0
Yunnan	Guangdong	70873	4341.07963609923
Yunnan	Guangdong	70877	1793.296795979637
Yunnan	Guangdong	70881	1324.295050528077
Yunnan	Guangdong	70885	5000.0
Yunnan	Guangdong	70889	5000.0
Yunnan	Guangdong	70893	5000.0
Yunnan	Guangdong	71065	4341.079636099223
Yunnan	Guangdong	71069	1793.2967959796442
Yunnan	Guangdong	71073	1324.2950505280576
Yunnan	Guangdong	71077	5000.0
Yunnan	Guangdong	71081	5000.0
Yunnan	Guangdong	71085	5000.0
Yunnan	Guangdong	116905	0.0
Yunnan	Guangdong	116909	0.0
Yunnan	Guangdong	116913	0.0
Yunnan	Guangdong	116917	5000.0
Yunnan	Guangdong	116921	3000.081537030969
Yunnan	Guangdong	116925	5000.0
Yunnan	Guangdong	116977	0.0
Yunnan	Guangdong	116981	0.0
Yunnan	Guangdong	116985	0.0
Yunnan	Guangdong	116989	5000.0
Yunnan	Guangdong	116993	3000.0815370309647
Yunnan	Guangdong	116997	5000.0
Yunnan	Guangdong	161497	5000.0
Yunnan	Guangdong	161501	5000.0
Yunnan	Guangdong	161505	5000.0
Yunnan	Guangdong	161509	5000.0
Yunnan	Guangdong	161513	5000.0
Yunnan	Guangdong	161517	5000.0
Yunnan	Guangdong	161641	5000.0
Yunnan	Guangdong	161645	5000.0
Yunnan	Guangdong	161649	5000.0
Yunnan	Guangdong	161653	5000.0
Yunnan	Guangdong	161657	5000.0
Yunnan	Guangdong	161661	5000.0
Yunnan	Guangdong	206162	0.0
Yunnan	Guangdong	206166	0.0
Yunnan	Guangdong	206170	0.0
Yunnan	Guangdong	206174	4914.914389056995
Yunnan	Guangdong	206178	0.0
Yunnan	Guangdong	206182	0.0
